Auction No,Issue date,Amount offered in Auction,Total bids (Competitive & Uncompetitive), Over/(Under) Subscribed ,   Face Value ,   Cost Value ,   Interest due , Date due,Duration,Implicit annual,Clearing ,Lowest Factor ,Weighted Average Price,Average Discount Factor,Money Market yield,Annualised , Rejected Amount ,Bid-to-cover
,-1, (1a) , (1b) ,,-2,-3,-4,-5,-6,-9,-10,-11,-12,-13,,,,
637,10-May-06,"12,000,000,000","18,449,700,000","6,449,700,000","12,000,000,000","11,523,351,681","476,648,319",23-Nov-06,182,,,,96.028,7.966,,8.295,"2,317",
638,24-May-06,"12,000,000,000","19,332,400,000","7,332,400,000","12,000,000,000","11,535,438,846","464,561,154",01-Jul-00,182,,,,96.129,7.764,,8.077,"2,383",
,,,,,,,,,,,,,,,,,,
639,07-Jun-06,"9,000,000,000","19,505,400,000","10,505,400,000","9,000,000,000","8,662,631,184","337,368,816",21-Dec-06,182,,,,96.251,7.518,,7.81,"2,467",
640,21-Jun-06,"12,000,000,000","15,103,100,000","3,103,100,000","12,000,000,000","11,558,744,225","441,255,775",01-Jul-00,182,,,,96.323,7.374,,7.656,"2,519",
,,,,,,,,,,,,,,,,,,
641,05-Jul-06,"8,000,000,000","8,276,800,000","276,800,000","7,576,800,000","7,259,005,627","317,794,373",18-Jan-07,182,,,,95.806,8.412,,8.78,"2,184",
642,19-Jul-06,"6,000,000,000","10,636,300,000","4,636,300,000","4,896,300,000","4,672,686,249","223,613,751",01-Jul-00,182,,,,95.433,9.159,,9.597,"1,989",
,,,,,,,,,,,,,,,,,,
645,17-Aug-06,"9,000,000,000","20,273,100,000","11,273,100,000","9,000,000,000","8,582,293,665","417,706,335",01-Mar-07,182,,,,95.359,9.308,,9.761,"1,954",
646,30-Aug-06,"12,000,000,000","15,458,800,000","3,458,800,000","12,000,000,000","11,428,669,278","571,330,722",01-Jul-00,182,,,,95.239,9.548,,10.026,"1,900",
,,,,,,,,,,,,,,,,,,
647,13-Sep-06,"12,000,000,000","6,596,600,000","-5,403,400,000","6,596,600,000","6,265,614,172","330,985,828",29-Mar-07,182,,,,94.982,10.063,,10.594,"1,792",
648,27-Sep-06,"12,000,000,000","5,872,800,000","-6,127,200,000","4,372,800,000","4,140,680,042","232,119,958",29-Mar-07,182,,,,94.692,10.646,,11.242,"1,683",
,,,,,,,,,,,,,,,,,,
